DB_Object_Symbol	WyattClarkIC
O15260	128.13821526590033
Q9BZM4	119.73287268104049
Q9UPM9	37.839140740934354
P28332	75.58701407960389
P52815	120.1276646219433
P40305	414.1846383813699
Q9UPT5	40.350546922784254
Q8WWM9	0.4917572436244746
O96024	164.2806671086762
Q9NS28	0.4917572436244746
O95390	30.70442137019313
Q99417	55.60193016202651
O60610	199.27555250328948
Q86UU1	144.764742151373
Q9BR10	25.588859649834426
P14550	86.6146283904265
Q9GZS0	237.78120202287886
P20340	304.34787585731976
Q13233	56.20141477887925
Q9UL40	48.84056755251124
Q969F9	20.024455102184874
Q13018	249.0844309202251
O14732	130.1008795336844
Q8NCW5	152.1239941419341
Q5VIR6	118.27129573153358
Q9NV64	166.26112756179003
P04406	341.31829576206826
Q92945	215.19562592074004
O60244	87.19592373509016
Q9NRW4	484.4404003017009
Q9UQ26	76.53528334397379
A0JLT2	0.4917572436244746
Q6PGN9	172.15376819564122
Q6UW60	28.165389959527268
Q9BZL4	0.4917572436244746
Q96EB1	112.87767914934341
Q96DE0	588.5557109197158
Q99933	95.29326033316741
Q9GZR2	143.63958044703787
Q9H665	8.175059072046128
P23352	0.4917572436244746
Q92997	338.33483970430933
Q96BT7	193.4134304910442
Q03154	27.204058817854406
Q53HL2	133.43030198858168
P08473	562.1937379013706
P19387	75.06221598997755
P35558	383.58627289675803
Q96RS0	92.94710858417466
Q9Y585	53.573908685896086
Q6H8Q1	11.292849090641198
P48443	0.4917572436244746
Q13151	51.55664627934386
Q15819	82.57596536462799
Q6P4H8	330.1385043659158
Q96MH2	259.5416152735351
O15382	0.4917572436244746
Q9UPY6	22.91417178106701
O00488	124.3225062116934
P29803	45.626230499886645
Q14315	32.55727997469924
Q9ULT0	32.31211636766033
Q9P104	15.101519355997194
Q01196	216.44638603238505
Q14953	16.17598426490631
P29120	7.947848314843476
Q9UKS7	0.4917572436244746
P61225	288.53882207911727
P37840	1894.0161173509198
Q9UKV8	732.5614081590263
P13945	192.9179674243591
O15127	116.62996837527982
Q5T8I9	84.65797259761686
P63244	1210.622876762879
Q8WXS5	74.86031236145656
P0C7P3	186.49468355564554
O60701	141.72095145998816
Q14331	29.285350501026755
Q96RI1	779.8961925393264
Q6UW78	320.0839970132892
O60493	442.97825141530984
Q9BYG5	49.047427421313614
Q6EEV6	161.56487648506402
Q9BRX9	85.04442439856284
